"Ativo","Data","LPA| Em moeda orig| de 12 meses| consolid:sim*| ajust p/ prov","VPA| Em moeda orig| consolid:sim*| ajust p/ prov","Vendas/Acao| Em moeda orig| de 12 meses| consolid:sim*| ajust p/ prov","EBITDA/Acao| Em moeda orig| de 12 meses| consolid:sim*| ajust p/ prov"
"AERI3<XBSP>","4T2020",0.17893745737,1.2610741725,3.491369358,0.36209231185
"AERI3<XBSP>","1T2021",0.17822364604,1.2918945657,3.8665435138,0.37604864562
"AERI3<XBSP>","2T2021",0.16026835034,1.3142447344,3.8342062905,0.34975076023
"AERI3<XBSP>","3T2021",0.089048561751,1.3272606896,3.533392468,0.29295388332
"AERI3<XBSP>","4T2021",0.090306091207,1.3097148539,3.2447572537,0.31444838592
"AERI3<XBSP>","1T2022",0.06191677091,1.3055784234,3.0663230775,0.30742437734
"AERI3<XBSP>","2T2022",0.000065402961812,1.2686262044,3.1483978646,0.33406001648
"AERI3<XBSP>","3T2022",-0.046063969012,1.2354389784,3.1472928856,0.33906187659
"AERI3<XBSP>","4T2022",-0.12156746337,1.1833085882,3.2373983673,0.34986919004
"AERI3<XBSP>","1T2023",-0.15308243859,1.1535302307,3.642190736,0.40803050555
"AERI3<XBSP>","2T2023",-0.14120379947,1.1276072264,3.9282876884,0.43876780607
"AERI3<XBSP>","3T2023",-0.14561017462,1.0896335375,4.2940084127,0.45871024174
"AERI3<XBSP>","4T2023",-0.13496307372,0.92960010461,3.5865132068,0.41755257636
"AESB3<XBSP>","4T2006",20.998882171,27.226592015,205.84991343,69.347920907
"AESB3<XBSP>","1T2007","-",27.690322779,"-","-"
"AESB3<XBSP>","2T2007","-",31.570084275,"-","-"
"AESB3<XBSP>","3T2007","-",30.134307368,"-","-"
"AESB3<XBSP>","4T2007",-2.0829230545,25.738876606,67.294160813,"-"
"AESB3<XBSP>","1T2008",-2.4337384344,25.837784297,68.502491544,"-"
"AESB3<XBSP>","2T2008",-1.6850307498,27.520845815,67.584729989,"-"
"AESB3<XBSP>","3T2008",-1.2211076777,28.354899651,68.914906871,"-"
"AESB3<XBSP>","4T2008",4.8368460943,26.646607364,64.357091516,22.694161259
"AESB3<XBSP>","1T2009",6.1019383866,28.024615385,64.328899211,"-"
"AESB3<XBSP>","2T2009",5.3866076427,28.911123077,63.608076338,"-"
"AESB3<XBSP>","3T2009",5.1937768914,27.3444,63.697030381,"-"
"AESB3<XBSP>","4T2009",4.8246922931,26.779315055,64.731007496,22.576269162
"AESB3<XBSP>","1T2010",4.6213538321,35.331523077,67.511169026,"-"
"AESB3<XBSP>","2T2010",5.3580692145,33.075315385,70.888799785,"-"
"AESB3<XBSP>","3T2010",6.0240615202,30.968876923,73.493338239,"-"
