"Ativo","Data","LiqGer| consolid:sim*","LiqGer| consolid:sim*","LiqCor| consolid:sim*","CapGir| Em moeda orig| em milhares| consolid:sim*","Cap Empl| Em moeda orig| em milhares| consolid:sim*"
"ABCB4<XBSP>","3T2017",1.1350925848,1.1350925848,1.2860176019,"-","-"
"ABCB4<XBSP>","4T2017",1.1283957946,1.1283957946,1.1903919121,"-","-"
"ABCB4<XBSP>","1T2018",1.1366144705,1.1366144705,1.210059608,"-","-"
"ABCB4<XBSP>","2T2018",1.1250079889,1.1250079889,1.1798468925,"-","-"
"ABCB4<XBSP>","3T2018",1.1300957828,1.1300957828,1.1776845668,"-","-"
"ABCB4<XBSP>","4T2018",1.1256009934,1.1256009934,1.2130598457,"-","-"
"ABCB4<XBSP>","1T2019",1.1266269059,1.1266269059,1.2328678276,"-","-"
"ABCB4<XBSP>","2T2019",1.1241251182,1.1241251182,1.2051839901,"-","-"
"ABCB4<XBSP>","3T2019",1.1182598149,1.1182598149,1.1358514416,"-","-"
"ABCB4<XBSP>","4T2019",1.1240327554,1.1240327554,1.0253379631,"-","-"
"ABCB4<XBSP>","1T2020",1.0892914436,1.0892914436,1.0018596372,"-","-"
"ABCB4<XBSP>","2T2020","-","-",0.98945009117,"-","-"
"ABCB4<XBSP>","3T2020","-","-","-","-","-"
"ABCB4<XBSP>","4T2020","-","-","-","-","-"
"ABCB4<XBSP>","1T2021","-","-","-","-","-"
"ABCB4<XBSP>","2T2021","-","-","-","-","-"
"ABCB4<XBSP>","3T2021","-","-","-","-","-"
"ABCB4<XBSP>","4T2021","-","-","-","-","-"
"ABCB4<XBSP>","1T2022","-","-","-","-","-"
"ABCB4<XBSP>","2T2022","-","-","-","-","-"
"ABCB4<XBSP>","3T2022","-","-","-","-","-"
"ABCB4<XBSP>","4T2022","-","-","-","-","-"
"ABCB4<XBSP>","1T2023","-","-","-","-","-"
"ABCB4<XBSP>","2T2023","-","-","-","-","-"
"ABCB4<XBSP>","3T2023","-","-","-","-","-"
"ABCB4<XBSP>","4T2023","-","-","-","-","-"
"EALT3<XBSP>","2T2018",0.67531045519,0.67531045519,1.0865982298,9794.0000001,222530
"EALT3<XBSP>","3T2018",0.67654016757,0.67654016757,1.0594370716,7447.9999999,234421
"EALT3<XBSP>","4T2018",0.65754570439,0.65754570439,0.96871908256,-3636,286828
"EALT3<XBSP>","1T2019",0.76946135325,0.76946135325,1.243655314,25154,293146
"EALT3<XBSP>","2T2019",0.86515511831,0.86515511831,1.0795127907,8270.9999999,288460
"EALT3<XBSP>","3T2019",0.8497918312,0.8497918312,1.1479419977,16426,310980
"EALT3<XBSP>","4T2019",0.84758385999,0.84758385999,1.0878726024,10417.999999,310542
"EALT3<XBSP>","1T2020",0.90813929863,0.90813929863,0.99329311784,-1212.9999998,326288
"EALT3<XBSP>","2T2020",0.89513606474,0.89513606474,0.99002079472,-1766.0000002,319731
"EALT3<XBSP>","3T2020",0.90408623964,0.90408623964,1.1706064443,29100,344427
"EALT3<XBSP>","4T2020",0.90217307544,0.90217307544,1.2081019826,28372,331045
"EALT3<XBSP>","1T2021",0.88443594446,0.88443594446,1.1647053132,27236,333765
"EALT3<XBSP>","2T2021",0.87451504166,0.87451504166,1.1232509807,19511,323979
"EALT3<XBSP>","3T2021",0.90589943526,0.90589943526,1.1992890408,36160,364369
"EALT3<XBSP>","4T2021",0.79222894599,0.79222894599,1.1865146461,32652,382786
"EALT3<XBSP>","1T2022",0.72605027953,0.72605027953,1.0452679825,8316,368948
"EALT3<XBSP>","2T2022",0.75023991448,0.75023991448,1.0331942364,6849,388767
"EALT3<XBSP>","3T2022",0.72074318574,0.72074318574,0.94057249095,-12658,393890
"EALT3<XBSP>","4T2022",0.70779358104,0.70779358104,0.99264467577,-1339.0000002,404917
"EALT3<XBSP>","1T2023",0.69939907174,0.69939907174,0.94795919936,-10157.999999,390968
"EALT3<XBSP>","2T2023",0.71268262947,0.71268262947,0.99553718307,-841,390321
"EALT3<XBSP>","3T2023",0.74030392879,0.74030392879,1.0543785745,10611,409856
"EALT3<XBSP>","4T2023",0.77818242587,0.77818242587,1.1038983221,20682,432219
"EALT4<XBSP>","2T2018",0.67531045519,0.67531045519,1.0865982298,9794.0000001,222530
"EALT4<XBSP>","3T2018",0.67654016757,0.67654016757,1.0594370716,7447.9999999,234421
"EALT4<XBSP>","4T2018",0.65754570439,0.65754570439,0.96871908256,-3636,286828
"EALT4<XBSP>","1T2019",0.76946135325,0.76946135325,1.243655314,25154,293146
"EALT4<XBSP>","2T2019",0.86515511831,0.86515511831,1.0795127907,8270.9999999,288460
"EALT4<XBSP>","3T2019",0.8497918312,0.8497918312,1.1479419977,16426,310980
"EALT4<XBSP>","4T2019",0.84758385999,0.84758385999,1.0878726024,10417.999999,310542
"EALT4<XBSP>","1T2020",0.90813929863,0.90813929863,0.99329311784,-1212.9999998,326288
"EALT4<XBSP>","2T2020",0.89513606474,0.89513606474,0.99002079472,-1766.0000002,319731
"EALT4<XBSP>","3T2020",0.90408623964,0.90408623964,1.1706064443,29100,344427
